2021-01-18 17:52:51,463 : root : 用户登录！！！！
2021-01-18 19:17:26,595 : root : 用户登录！！！！
2021-01-18 19:29:00,399 : root : 用户登录！！！！
2021-01-18 19:29:08,580 : root : 用户登录！！！！
2021-01-18 19:29:15,147 : root : 用户登录！！！！
2021-01-18 20:05:54,314 : 用户退出登录！！！！
2021-01-18 20:06:03,131 : root : 用户登录！！！！
2021-01-18 20:16:43,805 : root : 用户登录！！！！
2021-01-18 20:18:26,471 : root添加规则！！！！
2021-01-18 20:22:59,518 : root : 用户登录！！！！
2021-01-18 20:25:33,511 : root添加规则！！！！
2021-01-18 20:33:49,677 : root : 用户登录！！！！
2021-01-18 20:35:36,019 : root添加规则！！！！
2021-01-18 20:40:14,160 : root添加规则！！！！
2021-01-18 20:44:46,621 : root添加规则！！！！
2021-01-18 20:45:57,797 : root添加规则！！！！
2021-01-18 20:48:37,326 : root添加规则！！！！
2021-01-18 20:49:16,192 : root添加规则！！！！
2021-01-18 20:50:31,950 : root添加规则！！！！
2021-01-18 20:52:37,834 : root添加规则！！！！
2021-01-18 21:00:30,957 : root添加规则！！！！
2021-01-18 21:05:55,605 : root添加规则！！！！
2021-01-18 21:11:28,844 : root添加规则！！！！
2021-01-18 21:13:02,285 : root添加规则！！！！
2021-01-18 21:29:51,278 : root添加规则！！！！
2021-01-18 21:35:25,434 : root : 用户登录！！！！
2021-01-18 21:46:41,815 : root : 用户登录！！！！
2021-01-18 21:47:28,417 : root添加规则！！！！
2021-01-18 21:50:58,790 : root添加规则！！！！
2021-01-18 21:51:17,850 : root添加规则！！！！
2021-01-18 21:52:07,682 : root添加规则！！！！
2021-01-18 21:53:27,984 : root添加规则！！！！
2021-01-18 21:53:43,210 : root添加规则！！！！
2021-01-18 21:57:58,204 : root添加规则！！！！
2021-01-18 22:20:52,949 : root : 用户登录！！！！
2021-01-18 22:20:59,791 : 用户退出登录！！！！
2021-01-18 22:21:01,023 : root : 用户登录！！！！
2021-01-18 22:31:52,866 : root添加规则！！！！
2021-01-18 22:33:21,454 : root添加规则！！！！
2021-01-18 22:35:49,096 : root添加规则！！！！
2021-01-18 22:35:52,879 : root添加规则！！！！
2021-01-18 22:36:09,970 : root添加规则！！！！
2021-01-18 22:36:27,075 : root添加规则！！！！
2021-01-18 22:37:24,250 : root添加规则！！！！
2021-01-18 22:38:17,662 : root添加规则！！！！
2021-01-18 22:41:43,283 : root : 用户登录！！！！
2021-01-18 22:42:07,356 : root添加规则！！！！
2021-01-18 22:44:31,414 : root添加规则！！！！
2021-01-18 22:45:56,837 : root添加规则！！！！
2021-01-18 22:52:25,182 : root添加规则！！！！
2021-01-18 22:57:54,143 : root添加规则！！！！
2021-01-18 23:01:10,234 : root : 用户登录！！！！
2021-01-18 23:01:44,976 : root添加规则！！！！
2021-01-18 23:10:38,773 : root : 用户登录！！！！
2021-01-18 23:13:22,378 : root : 用户登录！！！！
2021-01-18 23:13:43,574 : root : 用户登录！！！！
2021-01-18 23:22:34,514 : root添加规则！！！！
2021-01-18 23:26:54,181 : root添加规则！！！！
2021-01-18 23:28:01,169 : root添加规则！！！！
2021-01-18 23:32:34,005 : root : 用户登录！！！！
2021-01-18 23:43:14,572 : 用户退出登录！！！！
2021-01-18 23:43:15,866 : root : 用户登录！！！！
2021-01-18 23:44:37,902 : root添加规则！！！！
2021-01-18 23:45:29,336 : root添加规则！！！！
2021-01-18 23:52:18,844 : root : 用户登录！！！！
2021-01-18 23:52:42,410 : root添加规则！！！！
2021-01-18 23:56:51,364 : root : 用户登录！！！！
2021-01-18 23:57:18,816 : root : 用户登录！！！！
2021-01-18 23:59:43,790 : root添加规则！！！！
2021-01-19 00:03:03,077 : root : 用户登录！！！！
2021-01-19 00:30:06,057 : root : 用户登录！！！！
2021-01-19 01:10:49,956 : root : 用户登录！！！！
2021-01-19 01:14:28,086 : root : 用户登录！！！！
2021-01-19 08:03:28,590 : root添加规则！！！！
2021-01-19 08:04:56,142 : 修改用户:2
2021-01-19 08:06:08,114 : 用户退出登录！！！！
2021-01-19 08:07:06,547 : root : 用户登录！！！！
2021-01-19 08:07:17,387 : root添加规则！！！！
2021-01-19 08:17:26,181 : root : 用户登录！！！！
2021-01-19 09:24:43,329 : root : 用户登录！！！！
2021-01-19 09:26:05,116 : 添加用户！！！！
2021-01-19 09:26:13,243 : 删除用户！！！！
2021-01-19 09:28:39,273 : root添加规则！！！！
2021-01-19 09:33:35,846 : 用户退出登录！！！！
2021-01-19 09:33:49,970 : root : 用户登录！！！！
2021-01-19 09:44:36,109 : 用户退出登录！！！！
2021-01-19 09:44:48,756 : aaa : 用户登录！！！！
